text_komentar,nama_akun
@sintaarlina:  Lebayyyyyy dasarrr alay,@sintaarlina
@sindyyy:  Nevan gue emang selalu ganteng,@sindyyy
@Nabillaaa: maklum bapaknya kan banyak hutangnya jd terpaksa anaknya cari yg gratisan,@Nabillaaa
"@raya_fams: sumpah suka banget pas nerya nari, luwes banget gerakannya terus positif vibes",@raya_fams
@SONY:  anak Abah emang aneh SDM rendah semua,@SONY
@ihwan:  kak semangat kak Allah selalu bersama orang yang benar,@ihwan
@azizzeus: gara gara Trans7 jadi berani nih kaum minoritas di Indonesia,@azizzeus
@nissrinash: CANTIKK BGTT PLISSS,@nissrinash
@fuzzyboba_exe:  aneh bgt anjir si bayu,@fuzzyboba_exe
@aline: lucuu bgt bayiik genius,@aline
@agusns: Indonesia tertinggal jauh oleh SDM dari China dan Jepang,@agusns
@clisminow: yang seperti ini sudah pasti adanya hanya di Jawa,@clisminow
@elsamarista: nicholas perjuangannya bawa rombongan ke Bandung buat ketemu Nares,@elsamarista
@melisakartika: David Goh juga perjuangan banget dari London datang ke wisuda Rachel di Bandung,@melisakartika
@rezaramadhan985:  masyaallah bina cantik selalu merinding denger kamu nyanyi,@rezaramadhan985
"@kentutnyajaden:  wajah kotak yang cantik sih setau ku muthe jkt 48 ya bukan lo put,maaf nih kalau salah lapak",@kentutnyajaden
@jenyseo:  CANTIK BANGET IPUTT MASYAALLAH,@jenyseo
@a:  harga iput perikat,@a
@sashaa:  khas banget mangapnya,@sashaa
@PPSDM:  baru tau adudu pake hijab,@PP SDM
"@Chelsea:  di puji tak pantas, di hina tak puas",@Chelsea stil learning
@bedaorang:  spek gayung cebok pun di rebutin astaga,@beda orang
@s:  apa itu mbk? keliatan gaenak,@s
@arkhanputra07:  udah bener jadi lc malah masak,@arkhanputra07
@xyli.a24: maghrib bngt lu,@xyli.a24
@caa:  anya versi emak emak,@caa
@L��ä:  make up KDRT,@L��ä
@Eka Sugik: calon lc kah?,@Eka Sugik
"@Dikaoke:  korban hoax ndhasmu..lihat laporan menteri LH,biar pintar lo termul",@Dika oke
"@engky:  tapi nyatanya disana ada penambangan to, jadi tidak usah cari pembelaan,Anjing kalian semua",@engky
@BangZall:  lah elu kerjanya joget joget baru berharap indo mau maju,@BangZall
@BAHLUL:  punya presiden kok obesitas,@BAHLUL
@kyypas:  PRABOWO ANJING,@kyypas
@abil:  ada aje si kotak,@abil
@Bonado_Siagian:  anak abah memang dajjal semua,@Bonado_Siagian
@Endang Susilowati:  inilah kaum ternak onta,@Endang Susilowati
@CekBioBombbyZR:  Menteri pendidikan paling buruk dalam sejarah Indonesia,@CekBioBombbyZR
@LemonMelon:  Bersama Nadiem mengacak-acak negeri,@LemonMelon
@Tutornesia:  gara gara dia rusak generasi,@Tutornesia
@????_?????? ????????:  anjir laki tiktokan,@????_?????? ????????:  anjir
@Budi Untoro:  pejabat cari muka pelajari dulu masalahnya,@Budi Untoro
@AFORANJAY:  pemikiran dangkal,@AFORANJAY
@ameliaainunjannah:  ganteng banget,@ameliaainunjannah
@sdolstorei:  kirain pemimpin harus pintar dan bijaksana ternyata,@sdolstorei
@gtwmlspgnbelitruck:  haaa outfitnya gitu doang?,@gtwmlspgnbelitruck
@Likhien:  udah bener main sinetron malah ngrurusi bola. emak gw udah nunggu sinetron elu,@Likhien
@Deldzqzz:  namanya juga artis yg lagi redup bang,@Deldzqzz
@mina:  masih mending lu ga kena maki anjing,@mina
"@YessicaTarigan:  Gak sesuai ekspektasi mu kan kak komen nya, iya itu karna emang kau salah kak. Jangan sia sia kan perjuangan orang yang bener sayang sama mu",@YessicaTarigan
@bolangsherra:  Mega rupanya penghianat bangsa dan negara,@bolangsherra
@usergakpernahmandi:  POLITIK AGAMA BAWA BAWA KUNCI SURGA DASAR ANAK ABAH,@usergakpernahmandi
@Kiwitodos:  Pendusta akhir zaman,@Kiwitodos
@Kinay:  pasti ini peliharaan mulyono,@Kinay
"@P'Lian2021:  Dije anak jendral top markotop, berani muncul untuk NKRI, saya simpatik banget sama ibu ini.",@P'Lian2021
"@sebelasoktober:  ya gimana gak di teror ,mulut dia sendiri yg bikin dia kayak gitu",@sebelasoktober
@xShinbee:  MALASSS harga amazing kualitasnya anjing,@xShinbee
"@kiara:  gamau, gaenak",@kiara
@Meaa:  itu apa put? keliatan nya gaenak.,@Meaa
"@urloveeRaaana:  harga ga ngotak, iput pun jadi kotak",@urloveeRaaana
@kaa:  mahall anjing mending beli mie ayam sama pop ice,@kaa
@kmgppniss:  gakmau nanti kena TBC nyaa,@kmgppniss
@radiorusak:  makin bohong terus ini orang panik bersilat lidah terus,@radiorusak
"@MelvnyaInspo:  udah guys, yang kaya gini itu jangan di kasih panggung, mending ramein windi aja",@MelvnyaInspo
@Imiek:  dokter ribett.... ribet di bikin sendiri,@Imiek
@glxzntikaaa:  kenapa harganya ngga ngotak? karena ipud udah kotak,@glxzntikaaa
"@Fansaccount:  engga ah, nanti jadi kotak.",@Fansaccount
@me:  cepet tutup ya put,@me
@uciiii:  ga mau ah soalnya uda kadaluwarsa,@uciiii
@jmii_:  gak dulu gak enak soalnya mana mahal lagi,@jmii_
"@Shaa_pinkeiicastleee:  Ga ngerti kotak, eh maksudnya kocak",@Shaa_pinkeiicastleee
@SDMTINGGIkece:  kenapa bumi bulat? karena kalo kotak putri padang,@SDMTINGGIkece
@mymy:  Kaku banget kayak kanebo kering,@mymy
@boy:  cakepan juga cimoy,@boy
@fia:  roti bau terasi,@fia
"@lithiumezyy:  udah tau hati gua busuk, ini roblox fyp mulu anjing",@lithiumezyy
@248:  ngerusak pagi indahku anjir,@248
@dindaaa:  aura tukang parkir nya kuat kalii,@dindaaa
@rr27:  bener bener anak spesial,@rr27
"@Herul:  pantesan aktingnya nggak bagus,ternyata jaringannya nggak 4g",@Herul
@Alifkancil14:  adanya kontol,@Alifkancil14
@ca:  apa itu put? keliatan nya sangat ga enak,@ca
@fano:  gak punah punah anjir,@fano
@byyyingg:  harga uni bakwan perkilo,@byyyingg
@n:  siapa yang tahu siapa yang kotak,@n
@fazalfaaaaaa:  99% mirip iputt,@fazalfaaaaaa
@idk:  udah kotak gepeng pula,@idk
@titik:  cara mikir dia gimana sih?? agak Laen emang,@titik
@AniSumarni:  perempuan Error,@AniSumarni
@Be:  red flag ketemu red flag yaa gini,@Be
"@scorpio:  biadab,enggak ada toleransinya,kelakuan iblis dasar teroris",@scorpio
@yohanes:  dasar orang pelit,@yohanes
"@Interfarm.id:  tutup aurat, tapi peluk peluk sesama idol boleh",@Interfarm.id
@marsiyatun:  semiskin miskinnya aku sehari 20ribu tapi gak pernah pecahin telur Ampe di korek gitu,@marsiyatun
"@sanari:  cewe ini rada rada, malahan diundang di tv aduh.",@sanari
"@scorpio:  biadap, gak ada toleransinya, kelakuan iblis, dasar teroris",@scorpio
@setoberi:  rafael shawn gacor banget anjirr,@setoberi
@ana:  gak nyambung goblok,@ana
@ifrbi4w:  DIAMLAH BODOHHHH,@ifrbi4w
@stranger:  ah monyet,@stranger
@intannnpndd:  kontol,@intannnpndd
@fitri:  Nares sama shen cuma beban doang,@fitri
@Rivetha:  beban Dean sama Lutfi,@Rivetha
@balaskomentar:  lebih viral yang planga plongo,@balaskomentar
@lalaaa:  Dia ngeremehin eh akhirnya diremehin,@lalaaa
@hambacashback:  Numpang menang di tim Dean,@hambacashback
"@v:  nareess, gue bangga sama lo",@v
"@widianingsih8109:  KAK TETAP BERTAHAN YA, TETAP BERJUANG",@widianingsih8109
@RHT.V:  cewek sempurna,@RHT.V
@svenzel:  semangat kak nares,@svenzel
"@Omoooo:  semangat kakk, semoga lolos sampai babak akhir",@Omoooo
"@Milea:  naresssss,semangat terus ya",@Milea
@Fadyaaaa:  masyallah positif vibes banget kak nares,@Fadyaaaa
@MysteriousGirl: pesona ipk sempurna,@MysteriousGirl
"@sunardi:  beban,cari aman nampaknya",@sunardi
@RHT.V:  Naress cantik bangettt,@RHT.V
@zlooldp:  maull makin ganteng aja,@zlooldp
@FebryZio:  ini mah cowok terkeren masa kini,@FebryZio
@austinsenna:  Shawn ganteng banget idola saya,@austinsenna
@sillynoodle:  makannya segentong buset,@sillynoodle
@lazynoodle88:  mirip ursula di little mermaid,@lazynoodle88
@saltycactus:  stylenya dia tuh gimana sih??,@saltycactus
@sillyworm420:  Beli alat gym aja kak,@sillyworm420
@saltyduck_z:  dari mulutnya udh bisa bikin orang gulung tikar??????,@saltyduck_z
"@grumpyowl404:  zar, gaada kepikiran mau pakai behel ??",@grumpyowl404
@fuzzyclownx:  Hama Tiktok,@fuzzyclownx
@bluntworm404:  mandi minimal,@bluntworm404
@fuzzyghostx:  bedehhh damage nya ga ada,@fuzzyghostx
@lazypopsicle03:  Kue Kontol,@lazypopsicle03
@ghostcactus_tv:  mandi g sih?,@ghostcactus_tv
@darkworm_fm:  kok jadi gitu cokk mata nya,@darkworm_fm
@midnightpopsicle03:  bayu menolak mandi,@midnightpopsicle03
@wonkyboba:  jerawat lu aja bang warnain biar gak ketauan hahah,@wonkyboba
@darkboba_xoxo:  Gagal keren,@darkboba_xoxo
@midnightpeach404:  minimal ga jerawatan dek,@midnightpeach404
@crazyboba420:  bayu terlihat tidak di urus,@crazyboba420
@pixelpeach:  kejelekan maszeh,@pixelpeach
@pixelgoblin_07:  KU KIRA MUKA TERNYATA AMPELA,@pixelgoblin_07
@spicybananax:  phobia bayu,@spicybananax
@boredcactusx:  ayo mandi Bay,@boredcactusx
@wonkybanana:  suaranya bengek,@wonkybanana
@spicyduck88:  Anjir,@spicyduck88
@sleepygoblin:  pasangan norakkk,@sleepygoblin
@crazycactus:  Pasangan paling ngeselin,@crazycactus
@saltycrab404:  ngeliat mukanya aja udah gedeg,@saltycrab404
@grumpynoodle:  orang suka pamer..alay sok kaya wooy,@grumpynoodle
@sillypudding:  lumayan okb dan norak ????,@sillypudding
@sleepyzombiex:  orang NORAK tuh.. dari awal gw ga pernah follow nih orang,@sleepyzombiex
@pixelcrumpet420:  gak usah di masukin berita yang kayak gini mahh sombong nya ke lebihan so banget sih jadi orang??,@pixelcrumpet420
@midnightgoblinx:  Songong banget muka nya,@midnightgoblinx
@darkcrab:  Tim gak suka pasangan ini si cewek sok manja banget euuhh??,@darkcrab
@mintyclown88:  Lesti malu maluin,@mintyclown88
"@lazyzombiex:  pantes badan nya gede, makan uang orang",@lazyzombiex
@lazykitten_07:  tasyi bawa badan sendiri aja susah bang apa LG bawa belanjan ??,@lazykitten_07
@weirdpirate:  Tasyi ternyata redflag juga ya,@weirdpirate
@pixelpeach99:  Boroknya segede gaban. ??,@pixelpeach99
@shadycactus404:  buli dong masak ngak??,@shadycactus404
@crazyboba_z:  Selebgram kere??,@crazyboba_z
@toxiczombie88:  YouTubers elit gaji sulit??????,@toxiczombie88
@saltyghost:  Si Tasyi Pikmi,@saltyghost
@pixelworm03:  Jelas dicintai wkwk,@pixelworm03
@fuzzyghost:  Tidak ada perilaku pada guru yang hebat,@fuzzyghost
@toxickitten99:  Keturunan majikan Yaman Loes Boy hahahha,@toxickitten99
@midnightkitten:  dasar drama kontol,@midnightkitten
@crazypirate420:  Taysi lawakk,@crazypirate420
@mintydonut:  Npd gak sih kalau gitu,@mintydonut
@shadynoodle:  Akulah si princes gendut,@shadynoodle
@midnightcactusxoxo:  Bongsor ke ??,@midnightcactusxoxo
@toxicghost:  Sakit untuk menjadi,@toxicghost
@sillycrab03:  bukti nyata NPD yang bisa diliat seluruh warga indonesiaaa ????,@sillycrab03
@ghostcrab_07:  si paling korban ya Tasyi lah,@ghostcrab_07
@shadyowl88:  Gua takutnya tasyi punya penyakit npd itu loh ..,@shadyowl88
@pixelcactus88:  ternyata suami nya redflag wkwk,@pixelcactus88
@boredpeach:  Si playing victim plus manipulatif abis,@boredpeach
@spicycactus_z:  MANUSIA RED FLAG!,@spicycactus_z
@boredzombie_xoxo:  Kibinyikin Bicit,@boredzombie_xoxo
@fuzzycrumpet420:  Katakan Sirsula,@fuzzycrumpet420
@spicycrumpet03:  ursulan yang satu ini emang beda,@spicycrumpet03
@ghostpudding_z:  agak laen memang si tasyi ini,@ghostpudding_z
@grumpycrab_:  Sangat red flag dan harus dijauhi,@grumpycrab_
@ghostzombie_xoxo:  mungkin elo kenapan sama orang prindavan gak ci?,@ghostzombie_xoxo
@fuzzyboba_xoxo:  KAMPUNGAN,@fuzzyboba_xoxo
@boredbanana99:  YG TERAKHIR MIRIP URSULA ??????,@boredbanana99
@fuzzypeach420:  sakit sih tasyi itu ??,@fuzzypeach420
@crazyworm:  jatohnya norak kak beli barang branded tapi kaya murahan,@crazyworm
@mintycrab_xoxo:  malu ga si bang @Ibnu Wardani si paling tau jepang ?????????? baru mau kejepang udah bikin malu wkwkwkwkw,@mintycrab_xoxo
@atta:  muka siang leher malam,@atta
@darkpopsicle_07:  cocok banget sm istrinya. sama2 halu,@darkpopsicle_07
@pixelpirate420:  Alay emang,@pixelpirate420
@toxicpeachx:  bacot banget,@toxicpeachx
"@spicybobax:  belum juga kesana tapi pemikiran sama lingkup negara nya gitu, norak bangett belum juga berangkat bang",@spicybobax
@mintypopsicle:  bacot,@mintypopsicle
@bluntzombie404:  norak,@bluntzombie404
